name	terms	is_query
ACTC1	cytoskeleton organization;anatomical structure development;cell differentiation;circulatory system process;programmed cell death;hydrolase activity;cytoskeletal motor activity;cytoskeletal protein binding;ATP-dependent activity;cytoskeleton;cytosol;organelle;extracellular space	True
ACTG1	cytoskeleton organization;anatomical structure development;immune system process;cell differentiation;cell adhesion;cell junction organization;defense response to other organism;vesicle-mediated transport;cell motility;wound healing;structural molecule activity;hydrolase activity;cytoskeleton;nucleus;plasma membrane;cytosol;organelle;extracellular space;cytoplasmic vesicle	True
CANX	vesicle-mediated transport;protein catabolic process;aging;protein folding;RNA binding;endoplasmic reticulum;ribosome;plasma membrane;nuclear envelope;organelle;extracellular space;cytoplasmic vesicle	True
CAVIN3	signaling;cytoskeleton organization;generation of precursor metabolites and energy;cytosol;plasma membrane	True
CLTA	intracellular protein transport;vesicle-mediated transport;protein-containing complex assembly;structural molecule activity;cytoskeleton;plasma membrane;Golgi apparatus;lysosome;cytosol;endosome;cytoplasmic vesicle	True
EEF1A1	protein catabolic process;autophagy;RNA binding;translation regulator activity;GTPase activity;nucleolus;cytoskeleton;nucleus;plasma membrane;lysosome;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	True
EEF1G	translation regulator activity;endoplasmic reticulum;nucleus;cytosol;organelle;extracellular space	True
GLG1	cell differentiation;protein maturation;signaling;anatomical structure development;extracellular matrix;cytoskeleton;plasma membrane;Golgi apparatus;organelle;extracellular space	True
GSTK1	cell differentiation;detoxification;anatomical structure development;oxidoreductase activity;transferase activity;antioxidant activity;peroxisome;cytosol;organelle;extracellular space;mitochondrion	True
HSP90AA1	anatomical structure development;immune system process;nucleocytoplasmic transport;protein-containing complex assembly;nervous system process;autophagy;telomere organization;protein catabolic process;membrane organization;mitochondrion organization;cell differentiation;defense response to other organism;signaling;cell motility;protein folding;intracellular protein transport;protein modification process;establishment or maintenance of cell polarity;circulatory system process;muscle system process;programmed cell death;molecular function regulator activity;hydrolase activity;ATP-dependent activity;protein folding chaperone;RNA binding;cytoskeletal protein binding;extracellular matrix;nucleoplasm;nucleus;plasma membrane;cilium;lysosome;cytosol;organelle;extracellular region;mitochondrion;extracellular space;cytoplasmic vesicle	True
